comm_code,name,RE_ASSESSED_VALUE,PROPERTY_TAX,Population,Area (m^2),pop_dens (per m^2
SOM,SOMERSET,1629113000,6305644.778,8320,2187006,0.003804288
OAK,OAKRIDGE,1635099500,6328816.125,5620,2410604,0.002331366
CRM,CRESTMONT,887323068,3434472.667,2275,2696871,0.00084357
SHN,SHAWNESSY,1878940300,7272626.325,9055,3647747,0.002482354
CED,CEDARBRAE,1275541740,4937111.859,5935,2029707,0.002924067
YKV,YORKVILLE,685189000,2652092.543,715,1991352,0.000359053
DDG,DOUGLASDALE/GLEN,3774774500,14610642.18,12920,6439432,0.002006388
DIA,DIAMOND COVE,231515000,896101.959,625,535287,0.001167598
QLD,QUEENSLAND,923428500,3574222.352,4585,1557424,0.002943964
CAN,CANYON MEADOWS,1998851500,7736754.616,7435,3079434,0.002414405
PKL,PARKLAND,1250172000,4838915.743,3430,1888142,0.001816601
MID,MIDNAPORE,1526962476,5910260.96,6480,2954120,0.002193547
WOO,WOODLANDS,1421773000,5503114.574,5830,2803961,0.002079202
WBN,WOODBINE,2280792500,8828035.451,8745,3226841,0.002710081
SHS,SHAWNEE SLOPES,849741500,3289009.45,2020,1250051,0.001615934
DRN,DEER RUN,1181270000,4572223.662,4910,1919048,0.00255856
MAH,MAHOGANY,5433952840,21032657.86,13860,6299255,0.00220026
AUB,AUBURN BAY,4482059500,17348259.5,18090,4523885,0.003998775
SPH,SPRINGBANK HILL,4474252435,17318041.47,9840,6505264,0.001512621
ASP,ASPEN WOODS,4021834800,15566913.78,9435,3993207,0.002362763
COR,CORAL SPRINGS,1072296500,4150430.833,5610,1783307,0.003145841
BDO,BONAVISTA DOWNS,230761500,893185.4619,830,570836,0.001454008
MPK,MARLBOROUGH PARK,1307588500,5061152.048,8290,2487717,0.003332373
BOW,BOWNESS,2695835683,10434501.59,10770,5628098,0.001913613
APP,APPLEWOOD PARK,996159000,3855733.025,6830,1554257,0.004394383
FAL,FALCONRIDGE,1334911000,5166906.517,10325,2142331,0.004819517
SHI,SHEPARD INDUSTRIAL,27766500,107473.0149,265,4194990,6.31706E-05
RIV,RIVERBEND,2122794500,8216488.392,9205,4060584,0.002266915
CRA,CRANSTON,5978892000,23141899.38,20850,8256354,0.002525328
VAL,VALLEY RIDGE,1639748500,6346810.544,5365,3290007,0.001630696
LKB,LAKE BONAVISTA,3854136500,14917820.74,10145,5261435,0.001928181
PIN,PINERIDGE,1542715000,5971232.679,9850,2639104,0.003732327
SCE,SCENIC ACRES,2406139000,9313201.613,7850,4434948,0.001770032
TEM,TEMPLE,1690410000,6542900.946,10525,2636686,0.003991753
LEG,LEGACY,2784852800,10779051.25,8000,6083784,0.001314971
MOR,MONTEREY PARK,1608175000,6224602.155,10475,3483762,0.003006807
MCK,MCKENZIE LAKE,3501691000,13553645.18,13290,5066158,0.00262329
SIL,SILVER SPRINGS,2470015000,9560440.059,8570,5015899,0.001708567
WWO,WOLF WILLOW,864040180,3344353.921,525,2854218,0.000183938
SDC,SUNDANCE,2403935000,9304670.811,9590,3979861,0.002409632
ABB,ABBEYDALE,856532590,3315295.043,5925,1703227,0.003478691
MAL,MAYLAND HEIGHTS,1211811025,4690435.753,5925,2022621,0.002929367
OGD,OGDEN,1636148369,6332875.877,8315,4138248,0.002009304
MRL,MARLBOROUGH,1384187500,5357636.138,8910,2655751,0.003354983
WHI,WHITEHORN,1742328000,6743854.757,11085,2641251,0.004196875
THO,THORNCLIFFE,1712971000,6630225.553,8695,3269199,0.002659673
RUN,RUNDLE,1594509500,6171708.471,10545,2640516,0.003993538
HUN,HUNTINGTON HILLS,2585598500,10007817.55,13120,4768999,0.002751101
